,date,open,close,high,low,volume,code
0,2006-09-28,9.135,9.318,9.674,8.701,169301.73,002069
1,2006-09-29,9.617,9.45,10.052,9.373,49290.44,002069
2,2006-10-09,9.451,9.752,9.924,9.325,28449.04,002069
3,2006-10-10,9.735,10.725,10.727,9.602,34935.76,002069
4,2006-10-11,10.532,10.5,10.772,10.385,15807.24,002069
5,2006-10-12,10.5,10.599,10.89,10.427,13688.86,002069
6,2006-10-13,10.59,10.215,10.59,10.127,19705.47,002069
7,2006-10-16,10.127,10.169,10.412,9.98,9797.32,002069
8,2006-10-17,10.127,10.169,10.275,10.022,5560.77,002069
9,2006-10-18,10.142,10.29,10.376,10.055,7301.53,002069
10,2006-10-19,10.247,10.428,10.701,10.172,10352.69,002069
11,2006-10-20,10.352,9.857,10.46,9.678,24054.15,002069
12,2006-10-23,9.767,9.557,9.837,9.271,14753.34,002069
13,2006-10-24,9.451,9.524,9.63,9.376,9496.22,002069
14,2006-10-25,9.455,9.572,9.722,9.455,7010.09,002069
15,2006-10-26,9.602,9.681,9.687,9.485,6955.12,002069
16,2006-10-30,9.539,9.482,9.597,9.283,5098.52,002069
17,2006-10-31,9.602,9.527,9.602,9.42,2822.71,002069
18,2006-11-01,9.519,9.196,9.519,9.076,9426.38,002069
19,2006-11-02,9.159,9.076,9.208,8.953,8036.21,002069
20,2006-11-03,9.004,9.312,9.328,9.003,7521.59,002069
21,2006-11-06,9.283,9.174,9.283,9.153,3972.57,002069
22,2006-11-07,9.175,9.226,9.267,8.979,8947.51,002069
23,2006-11-08,9.211,9.256,9.271,9.003,6702.46,002069
24,2006-11-09,9.256,9.551,9.587,9.181,6660.19,002069
25,2006-11-10,9.537,9.316,9.537,9.253,4158.3,002069
26,2006-11-13,9.268,9.151,9.376,8.986,4024.86,002069
27,2006-11-14,9.121,9.25,9.294,9.048,2259.23,002069
28,2006-11-15,9.181,9.436,9.602,9.154,6698.83,002069
29,2006-11-16,9.376,9.614,9.632,9.321,7490.95,002069
30,2006-11-17,9.527,9.804,9.894,9.451,6827.01,002069
31,2006-11-20,9.846,9.639,9.846,9.494,4464.83,002069
32,2006-11-21,9.638,9.497,9.638,9.408,4096.36,002069
33,2006-11-22,9.482,9.518,9.713,9.433,3938.61,002069
34,2006-11-23,9.461,9.339,9.542,9.271,5542.62,002069
35,2006-11-24,9.339,9.234,9.373,9.181,5215.79,002069
36,2006-11-27,9.234,9.339,9.367,9.129,2495.82,002069
37,2006-11-28,9.316,9.286,9.426,9.226,4203.63,002069
38,2006-11-29,9.243,9.597,9.632,9.133,9796.54,002069
39,2006-11-30,9.599,9.789,9.896,9.497,9733.3,002069
40,2006-12-01,9.788,9.602,9.899,9.539,6111.3,002069
41,2006-12-04,9.618,10.014,10.152,9.617,10182.87,002069
42,2006-12-05,9.902,9.924,9.992,9.797,4398.19,002069
43,2006-12-06,9.914,9.782,9.914,9.399,6867.3,002069
44,2006-12-07,9.659,9.662,9.777,9.575,5051.01,002069
45,2006-12-08,9.602,9.552,9.611,9.421,4128.88,002069
46,2006-12-11,9.482,9.72,9.734,9.436,2970.88,002069
47,2006-12-12,9.746,9.752,9.752,9.376,4005.84,002069
48,2006-12-13,9.677,10.727,10.727,9.647,23617.18,002069
49,2006-12-14,10.787,10.832,11.052,10.58,11111.65,002069
50,2006-12-15,10.809,10.874,11.177,10.601,10349.28,002069
51,2006-12-18,10.802,11.012,11.051,10.785,10217.64,002069
52,2006-12-19,11.025,11.822,12.107,10.892,11032.04,002069
53,2006-12-20,11.702,11.882,11.927,11.336,6142.81,002069
54,2006-12-21,11.717,12.014,12.272,11.717,7569.0,002069
55,2006-12-22,11.819,11.853,12.3,11.522,9000.66,002069
56,2006-12-25,11.789,11.822,12.152,11.789,5841.5,002069
57,2006-12-26,11.792,11.702,11.927,11.627,5121.63,002069
58,2006-12-28,11.702,10.983,11.702,10.937,22741.22,002069
59,2006-12-29,10.968,11.108,11.381,10.967,14233.86,002069
60,2007-01-04,11.252,10.79,11.252,10.668,7468.21,002069
61,2007-01-05,10.727,11.342,11.357,10.5,6983.14,002069
62,2007-01-08,11.136,11.327,11.447,11.072,4671.53,002069
63,2007-01-09,11.304,11.477,11.7,11.253,5138.3,002069
64,2007-01-10,11.477,11.192,11.552,11.099,6691.79,002069
65,2007-01-11,11.114,11.792,11.975,11.066,10213.36,002069
66,2007-01-12,11.702,12.186,12.632,11.597,14240.65,002069
67,2007-01-15,12.182,12.902,13.033,12.032,9516.87,002069
68,2007-01-16,13.022,12.799,13.352,12.557,6738.94,002069
69,2007-01-17,12.899,13.112,13.427,12.302,8589.88,002069
70,2007-01-18,13.052,12.887,13.481,12.512,8877.53,002069
71,2007-01-19,12.917,14.026,14.144,12.917,10731.81,002069
72,2007-01-22,14.207,14.702,14.852,14.207,7624.13,002069
73,2007-01-23,14.776,14.63,14.987,14.417,10660.85,002069
74,2007-01-24,14.552,14.297,14.896,14.252,5452.19,002069
75,2007-01-25,14.147,13.952,14.326,13.652,9032.77,002069
76,2007-01-26,13.78,13.652,13.802,12.953,8428.14,002069
77,2007-01-29,13.607,13.532,13.799,13.205,8130.42,002069
78,2007-01-30,13.772,13.784,13.952,13.532,3740.92,002069
79,2007-01-31,13.652,12.962,13.783,12.929,5262.11,002069
80,2007-02-01,12.917,13.183,13.184,12.602,4701.72,002069
81,2007-02-02,13.157,13.097,13.157,12.606,3248.73,002069
82,2007-02-05,12.976,12.904,12.977,12.854,5529.03,002069
83,2007-02-06,12.898,13.201,13.201,12.422,6405.3,002069
84,2007-02-07,13.171,13.051,13.352,12.902,5422.88,002069
85,2007-02-08,13.112,13.09,13.112,12.752,2345.02,002069
86,2007-02-09,13.09,13.157,13.187,12.904,1539.68,002069
87,2007-02-12,13.157,13.727,13.727,13.022,7752.15,002069
88,2007-02-13,13.772,14.549,14.549,13.742,3314.19,002069
89,2007-02-14,14.534,14.549,14.836,14.314,2788.39,002069
90,2007-02-15,14.552,14.911,14.999,14.252,6352.87,002069
91,2007-02-16,14.851,14.492,14.851,14.252,3742.32,002069
92,2007-02-26,14.042,14.372,14.402,13.771,2173.7,002069
93,2007-02-27,14.102,12.935,14.11,12.935,2587.9,002069
94,2007-02-28,12.602,13.337,13.349,12.404,4484.17,002069
95,2007-03-01,13.127,13.022,13.127,12.528,2831.94,002069
96,2007-03-02,12.776,12.707,12.977,12.303,2891.87,002069
97,2007-03-05,12.444,12.558,12.839,12.344,1880.47,002069
98,2007-03-06,12.558,12.778,12.833,12.422,2712.38,002069
99,2007-03-07,12.677,12.955,13.124,12.603,1804.27,002069
100,2007-03-08,12.827,12.797,12.902,12.573,3109.46,002069
101,2007-03-09,12.797,12.515,12.899,12.429,3779.5,002069
102,2007-03-12,12.5,12.452,12.602,12.329,3577.03,002069
103,2007-03-13,12.452,12.036,12.524,12.032,6310.6,002069
104,2007-03-14,12.047,11.882,12.047,11.628,8642.08,002069
105,2007-03-15,11.849,11.943,12.236,11.777,4842.69,002069
106,2007-03-16,11.96,12.201,12.21,11.942,10249.49,002069
107,2007-03-19,12.002,12.068,12.372,11.819,4598.6,002069
108,2007-03-20,12.078,11.852,12.167,11.805,5434.32,002069
109,2007-03-21,11.853,11.852,12.002,11.736,3427.51,002069
110,2007-03-22,11.856,12.077,12.174,11.822,5866.67,002069
111,2007-03-23,11.852,11.994,11.994,11.384,9243.25,002069
112,2007-03-26,11.822,11.949,11.987,11.784,4425.03,002069
113,2007-03-27,11.909,12.152,12.219,11.909,6199.79,002069
114,2007-03-28,12.182,12.077,12.182,11.763,5115.05,002069
115,2007-03-29,12.009,11.852,12.009,11.717,5625.83,002069
116,2007-03-30,11.853,11.919,11.969,11.778,3063.54,002069
117,2007-04-02,11.882,11.882,11.975,11.787,3984.63,002069
118,2007-04-03,11.882,11.777,11.927,11.684,6978.57,002069
119,2007-04-04,11.792,11.927,12.077,11.703,7500.39,002069
120,2007-04-05,11.934,12.135,12.15,11.897,7481.4,002069
121,2007-04-06,12.089,12.287,12.3,11.957,5738.05,002069
122,2007-04-09,12.302,12.441,12.521,12.302,6695.67,002069
123,2007-04-10,12.449,12.495,12.527,12.377,7777.57,002069
124,2007-04-11,12.494,12.527,12.6,12.374,10397.64,002069
