,date,open,close,high,low,volume,code
0,2010-01-04,11.68,11.76,12.205,11.68,37513.69,002069
1,2010-01-05,11.726,11.989,12.014,11.371,40504.83,002069
2,2010-01-06,11.834,11.587,11.989,11.55,28097.92,002069
3,2010-01-07,11.566,11.587,11.739,11.124,38199.87,002069
4,2010-01-08,11.525,11.649,11.825,11.51,26052.21,002069
5,2010-01-11,11.68,11.42,11.76,11.309,26840.76,002069
6,2010-01-12,11.448,11.77,11.8,11.433,42147.99,002069
7,2010-01-13,11.495,11.726,12.045,11.436,37639.52,002069
8,2010-01-14,11.68,12.131,12.245,11.584,42993.36,002069
9,2010-01-15,12.143,12.097,12.289,11.955,25875.85,002069
10,2010-01-18,12.097,12.647,12.823,12.06,50245.17,002069
11,2010-01-19,12.653,12.978,13.293,12.653,49952.67,002069
12,2010-01-20,13.101,12.808,13.41,12.632,42866.61,002069
13,2010-01-21,12.731,12.585,12.885,12.267,24767.09,002069
14,2010-01-22,12.539,11.974,12.539,11.705,31471.77,002069
15,2010-01-25,11.776,11.998,12.23,11.776,18222.83,002069
16,2010-01-26,12.122,11.652,12.227,11.6,18690.13,002069
17,2010-01-27,11.655,11.68,11.865,11.433,20263.14,002069
18,2010-01-28,11.838,11.742,11.838,11.495,15431.11,002069
19,2010-01-29,11.593,12.109,12.221,11.593,25746.16,002069
20,2010-02-01,12.292,12.165,12.502,12.079,24853.89,002069
21,2010-02-02,12.31,11.995,12.422,11.949,19978.86,002069
22,2010-02-03,11.98,11.785,12.153,11.433,23028.21,002069
23,2010-02-04,11.742,11.587,11.828,11.433,22881.04,002069
24,2010-02-05,11.433,11.167,11.457,11.115,29094.07,002069
25,2010-02-08,11.241,11.927,11.943,11.241,34511.29,002069
26,2010-02-09,12.171,11.995,12.171,11.643,23181.59,002069
27,2010-02-10,11.933,11.998,12.106,11.838,20006.01,002069
28,2010-02-11,11.983,12.406,12.511,11.899,36029.8,002069
29,2010-02-12,12.363,12.703,12.82,12.261,31058.45,002069
30,2010-02-22,12.746,13.098,13.287,12.746,49009.68,002069
31,2010-02-23,13.939,14.408,14.408,13.59,175785.9,002069
32,2010-02-24,14.331,14.418,14.597,14.096,113906.25,002069
33,2010-02-25,14.421,14.671,14.955,14.309,86678.43,002069
